"id","key","question","category","type","approval","username"
1,"8f126f","<p dir=""ltr"" style=""line-height: 1.38; margin-top: 0pt; margin-bottom: 11pt;""><span style=""font-size: 12.499999999999998pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: bold; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Question: After a mental breakdown and subsequent retirement, one monarch of this name and number had the corpses of dead relatives exhumed so that he could observe them. Another king of this name </span><span style=""font-family: Arial; font-size: 16.6667px; font-weight: bold; white-space: pre-wrap;"">was called ""scandalous and poor"" in a poem, </span><span style=""font-size: 12.499999999999998pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: bold; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">and he kept a mistress who was thought to have once worked selling oranges. After a different king of this name and number died in Madrid in 1700, his famous autopsy reported that &ldquo;his heart was (*)</span><span style=""font-size: 12.499999999999998pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;""> the size of a peppercorn&rdquo; and that &ldquo;his head was full of water&rdquo;. An English king of this name and number granted amnesty to his entire kingdom except some of the &ldquo;regicides&rdquo; who had approved his father's execution. For ten points, what name and number are shared by the inbred last Hapsburg monarch of Spain, whose death sparked the War of the Spanish Succession, and a merry monarch who was restored to power after the death of Oliver Cromwell?</span></p>
<p><span id=""docs-internal-guid-967eb5cb-7fff-f6cd-5206-9f224d7cc795""></span></p>
<p dir=""ltr"" style=""line-height: 1.38; margin-top: 0pt; margin-bottom: 11pt;""><span style=""font-size: 12.499999999999998pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">ANSWER: </span><span style=""font-size: 12.499999999999998pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: bold; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Charles II</span></p>",23,"T",0,NULL
2,"ab9336","<p><span style=""font-size: 12pt;""><span style=""font-family: Arial; color: #000000; background-color: transparent; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;""><strong>Question:</strong> <strong>This </strong></span><span style=""font-family: Arial; color: #000000; background-color: transparent; font-weight: bold; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">operation began in 1973 when two agents got jobs at the IRS as clerk typists to as covers for their real jobs, which were to monitor files and make copies to send back to their superiors. This operation resulted in the largest raid in FBI history, involving 156 agents, lasted for 21 hours, and filled a 16-ton truck with documents and evidence. This operation continued for around four years until the two agents were caught stealing files by the night librarian at the federal courthouse in Washington DC. These two agents were Michael Meisner (*)</span><span style=""font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;""> and Gerald Bennet Wolfe, who were operatives for the Church of Scientology. For ten points, name this operation, named after a fictional princess, conducted by the Church of Scientology, the largest infiltration of the United States Government in history. </span></span></p>
<p><span style=""font-size: 12pt;""><span style=""font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">ANSWER: Operation </span><span style=""font-family: Arial; color: #000000; background-color: transparent; font-weight: bold; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Snow White</span></span></p>",16,"T",0,NULL
4,"8f126f","<p><span style=""font-size: 12.499999999999998pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: bold; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Question: Upon reaching the age of 83, a person may celebrate a second one of these events, which give those who have completed one moral responsibility their actions and eligibility to participate in a </span><span style=""font-size: 12.499999999999998pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: bold; font-style: italic; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">minyan</span><span style=""font-size: 12.499999999999998pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: bold; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">. The name of this ritual usually translates to, ""son (or daughter) of (*)</span><span style=""font-size: 12.499999999999998pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;""> commandment"". </span><span style=""font-size: 12.499999999999998pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: italic; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Tefillin</span><span style=""font-size: 12.499999999999998pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;""> and </span><span style=""font-size: 12.499999999999998pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: italic; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Tallit</span><span style=""font-size: 12.499999999999998pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;""> can be worn as a result of this event. </span><span style=""font-size: 12.499999999999998pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">In preparation for this Semetic ceremony, many learn a Haftarah, and candy is often thrown at the person whom the event is honoring. </span><span style=""font-size: 12.499999999999998pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">For ten points, name this Jewish celebration for children who reach the age of 13.</span></p>
<p><span id=""docs-internal-guid-1d46241c-7fff-6d1f-56c9-c0e71bba0b30""><span style=""font-size: 12.5pt; font-family: Arial; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;"">ANSWER: </span><span style=""font-size: 12.5pt; font-family: Arial; font-weight: bold; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;"">Bar Mitzvah</span><span style=""font-size: 12.5pt; font-family: Arial; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;""> [or </span><span style=""font-size: 12.5pt; font-family: Arial; font-weight: bold; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;"">B&rsquo;nai Mitzvah</span><span style=""font-size: 12.5pt; font-family: Arial; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;"">; accept </span><span style=""font-size: 12.5pt; font-family: Arial; font-weight: bold; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;"">Bat Mitzvah</span><span style=""font-size: 12.5pt; font-family: Arial; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;"">; prompt on coming of age or becoming an adult or other synonymous answers]</span></span></p>",16,"T",0,NULL
5,"8f126f","<p dir=""ltr"" style=""line-height: 1.38; margin-top: 0pt; margin-bottom: 11pt;""><span style=""font-size: 12.499999999999998pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: bold; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Question</span><span style=""font-size: 12.499999999999998pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">: </span><span style=""font-size: 12.499999999999998pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: bold; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">This man had a debilitating fear his head would fall off while he was conducting, and he was known to drink only bottled water. An oboe plays a high A to begin the trio of a scherzo, and the strings play pizzicato throughout in his Symphony No 4. A quintessentially Russian ballet (*) </span><span style=""font-size: 12.499999999999998pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">he wrote contains a ""trepak"", and some of its other sections represent coffee, tea, and chocolate. Another work of his includes a motif from <em>La Marseillaise</em>, and can end with the fire of an real cannon. For ten points, name this Russian composer of </span><em><span style=""font-size: 12.5pt; font-family: Arial; color: #000000; font-weight: 400; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">1812 Overture</span></em><span style=""font-size: 12.499999999999998pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">, as well as the ballets Swan Lake and The Nutcracker.</span></p>
<p dir=""ltr"" style=""line-height: 1.38; margin-top: 0pt; margin-bottom: 11pt;""><span style=""font-size: 12.499999999999998pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">ANSWER: Pyotr Ilyich </span><span style=""font-size: 12.499999999999998pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: bold; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Tchaikovsky</span></p>",14,"T",0,NULL
6,"a97779","<p><span style=""font-size: 12pt;""><strong><span style=""font-family: Arial; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;"">Question: </span></strong><span style=""font-family: Arial; font-weight: bold; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;"">In one episode of this show a character asks his friend at a halloween party if he is handsome. Later in that episode another character takes drugs in order to prove that he is not old and is still cool. In another episode of this show a man claims he is taking a class taught by a man named (*)</span><span style=""font-family: Arial; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;""> Professor Professorson. One of the main characters of this show charts his female friends&rsquo; menstrual cycles claiming that before he realized what he was doing the study had &ldquo;yielded positive results. Some popular quotes in this show include: &ldquo;I see your value now,&rdquo; &ldquo;Pop Pop!&rdquo; and &ldquo;6 seasons and a movie.&rdquo; For 10 points, name this American sitcom, in which Jeff Winger is forced to attend Greendale in order to become a lawyer again.</span><span id=""docs-internal-guid-e4a24e8e-7fff-3839-2183-75d84d123679""></span></span></p>
<p><span style=""font-size: 12pt; font-family: Arial; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;"">ANSWER: <strong>Community [Prompt on That TV Show about people]</strong></span></p>",27,"T",0,NULL
7,"8f126f","<p dir=""ltr"" style=""font-family: 'Times New Roman'; line-height: 1.38; margin-top: 0pt; margin-bottom: 11pt;""><span style=""font-size: 12.5pt; font-family: Arial; font-weight: bold; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;"">Question: In one episode in this text, a wealthy king tries to verify which oracles are trustworthy; the only one found to be so was the Oracle of Delphi. That Lydian king is Croesus, who later goes on to give questionable advice to Cyrus (*)</span><span style=""font-size: 12.5pt; font-family: Arial; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;""> the Great before he battles the Massagetaeians. In a different passage of this work, the battle of Mycale is described, and Xerxes&rsquo;s army is held for three days at Thermopylae pass by Leionidas. Cicero called the writer of this text the &ldquo;father of history&rdquo;, and he came from modern day Bodrum, then called Halicarnassus. For ten points, name this often fanciful account by Herodotus.</span></p>
<p dir=""ltr"" style=""font-family: 'Times New Roman'; line-height: 1.38; margin-top: 0pt; margin-bottom: 11pt;""><span style=""font-size: 12.5pt; font-family: Arial; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;"">ANSWER: The </span><span style=""font-size: 12.5pt; font-family: Arial; font-weight: bold; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;"">Histories</span></p>",12,"T",0,NULL
8,"8f126f","<p dir=""ltr"" style=""font-family: 'Times New Roman'; line-height: 1.38; margin-top: 0pt; margin-bottom: 11pt;""><span style=""font-size: 12.5pt; font-family: Arial; font-weight: bold; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;""><span style=""font-family: Arial;""><span style=""font-size: 12.5pt; white-space: pre-wrap;""><strong>Question: </strong></span><strong style=""font-size: 16.6667px; white-space: pre-wrap;"">In the Indian medicinal practice of Ayurveda, people with this trait are seen as likely to have a ""Pitta"" temperament, and many use </strong><span style=""font-size: 16.6667px; white-space: pre-wrap;""><strong>henna and saffron to gain the appearance of having this characeristic. </strong></span><span style=""font-size: 12.5pt; white-space: pre-wrap;""><strong>A posthumous portrait leads some to speculate Cleopatra possessed this trait, which was also exhibited, along with grey eyes, by the Scythians according (*) </strong></span></span></span><span style=""font-size: 12.5pt; font-family: Arial; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;""><span style=""font-family: Arial;""><span style=""font-size: 12.5pt; white-space: pre-wrap;"">to Tang Dynasty accounts. An admiral with this characteristic conqured Tunis, and was employed by</span></span></span><span style=""font-size: 12.5pt; font-family: Arial; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;""> Suleiman the Magnificent. A Holy Roman Emperor with this attribute drowned in a Anatolian river en route to Jerusalem. For ten points, name this hair color shared by Thomas Jefferson, Lucille Ball, Emma Watson and Fredrick Barbarossa.</span></p>
<p style=""font-family: 'Times New Roman';""><span id=""docs-internal-guid-4c2deee2-7fff-a20c-3cad-7b42b49ea1f4""><span style=""font-size: 12.5pt; font-family: Arial; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;"">ANSWER: </span><span style=""font-size: 12.5pt; font-family: Arial; font-weight: bold; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;"">Red </span><span style=""font-size: 12.5pt; font-family: Arial; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;""><strong>hair</strong> [accept <strong>red beard</strong> or other equivalent]</span></span></p>",25,"T",0,NULL
9,"8f126f","<p dir=""ltr"" style=""font-family: 'Times New Roman'; line-height: 1.38; margin-top: 0pt; margin-bottom: 11pt;""><span style=""font-size: 12.5pt; font-family: Arial; font-weight: bold; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;"">Question: East Germanic Gothic culture thrived in this area well into the 18th century, though the ethnically Gothic potentiate Theodoro fell 400 years prior. A pair of photographs taken in this region show a lanscape before and after a battle. Those pioneering photographs were taken by </span><span style=""font-family: Arial; font-size: 16.6667px; font-weight: bold; white-space: pre-wrap;"">Roger Fenton. (*) </span><span style=""font-family: Arial; font-size: 16.6667px; white-space: pre-wrap;"">A Mongol siege in this territory may have introduced the Black Plague to Europe, and </span><span style=""font-size: 12.5pt; font-family: Arial; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;"">Florence Nightingale </span><span style=""font-size: 12.5pt; font-family: Arial; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;"">gained fame for treating wounded soldiers here. The charge of the light brigade occurred on, for ten points, this peninsula on the northern coast of the Black Sea, in 2014 seized from Ukraine by the Russian Federation.</span></p>
<p style=""font-family: 'Times New Roman';""><span id=""docs-internal-guid-5fcbdda0-7fff-631a-4b06-10fccaf89d57""><span style=""font-size: 12.5pt; font-family: Arial; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;"">ANSWER: (the) </span><span style=""font-size: 12.5pt; font-family: Arial; font-weight: bold; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;"">Crimea</span></span></p>",23,"T",0,NULL
10,"8f126f","<p dir=""ltr"" style=""font-family: 'Times New Roman'; line-height: 1.38; margin-top: 0pt; margin-bottom: 11pt;""><span style=""font-size: 12.5pt; font-family: Arial; font-weight: bold; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;"">Question: The earliest fossils of organisms of this kingdom date back to more than 400 million years ago, and those organisms reproduce using spores. Those organisms were lycophytes, which are still around today. Members of this kingdom are also often known to possess such anatomy as phyllodes, petioles, (*) </span><span style=""font-size: 12.5pt; font-family: Arial; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;"">sepals and anthers. Those with reproductive organs called pistils and</span><span style=""font-size: 12.5pt; font-family: Arial; font-weight: bold; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;""> </span><span style=""font-size: 12.5pt; font-family: Arial; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;"">stamens are known as angiosperms, and Carnivorous members of this kingdom include &ldquo;bladder&rdquo; and &ldquo;lobster-pot&rdquo; varieties. Inability to digest the cellulose in their rigid cell walls is the reason humans can't eat paper. For ten points, identify this eukaryotic taxonomic kingdom whose members often perform photosynthesis and include shrubberies, flowers and trees.</span></p>
<p style=""font-family: 'Times New Roman';""><span id=""docs-internal-guid-bc1c305a-7fff-0630-b7da-6c4757268768""><span style=""font-size: 12.5pt; font-family: Arial; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;"">ANSWER: </span><span style=""font-size: 12.5pt; font-family: Arial; font-weight: bold; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;"">Plants</span></span></p>",1,"T",0,NULL
11,"8f126f","<p dir=""ltr"" style=""font-family: 'Times New Roman'; line-height: 1.38; margin-top: 0pt; margin-bottom: 11pt;""><span style=""font-size: 12.5pt; font-family: Arial; font-weight: bold; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;"">Question: Hantaro Nagaoka&rsquo;s rejected Saturnian version of this included electrically charged rings. Lord Kelvin originally devised an early one of these using the work of Alfred Mayer, and it was verified by Hans Geiger (*)</span><span style=""font-size: 12.5pt; font-family: Arial; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;""> and Ernest Marsden using, among other things, a tube containing radium and bismuth. A discovery by James Chadwick forced a revision of the &ldquo;cloud&rdquo; one of these and a &ldquo;billiard ball&rdquo; conception of this was put forth by John Dalton. For ten points, name these theories about the composition and structure of the basic particles of matter.</span></p>
<p style=""font-family: 'Times New Roman';""><span id=""docs-internal-guid-d993526e-7fff-54f5-d18e-b1603fbf215a""><span style=""font-size: 12.5pt; font-family: Arial; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;"">ANSWER: </span><span style=""font-size: 12.5pt; font-family: Arial; font-weight: bold; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;"">Atomic Models </span><span style=""font-size: 12.5pt; font-family: Arial; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;"">[accept equivlent]</span></span></p>",2,"T",0,NULL
