"ANSWER","ID","SIZE"
"The Bronze Horseman A Petersburg Tale","0","4"
"Orfeo ed Euridice","1","3"
"Hudsons Bay Company","2","2"
"Mindanao","3","5"
"Amritsar","4","5"
"serenade","5","2"
"Frost at Midnight","6","3"
"Bhima","7","2"
"Buried Child","8","2"
"Euler totient function","9","4"
"Jacques-Louis David","10","29"
"Tamil","11","5"
"fracture","12","3"
"Union of Myanmar","13","3"
"dyneins","14","2"
"Wends","15","2"
"phenols","16","3"
"Gianni Schicchi","17","2"
"copyright","18","4"
"Arnold Bocklin","19","4"
"Nelson Goodman","20","3"
"Novalis","21","3"
"baptism","22","12"
"Ravana","23","6"
"Boltzmann transport equation","24","3"
"Edgar Allan Poe","25","49"
"Epstein-Barr virus","26","2"
"Argentina","27","50"
"Christmas","28","8"
"Paul Johannes Tillich","29","2"
"Henry VI","30","5"
"isospin","31","2"
"McTeague","32","3"
"Lara","33","2"
"Parma","34","3"
"Stan Getz","35","2"
"The Good Soldier A Tale of Passion","36","2"
"Japanese-Americans","37","5"
"singularity","38","2"
"compatibilism","39","3"
"Sergei Prokofiev","40","25"
"El Jaleo","41","2"
"Ludwig von Mises","42","3"
"chemical hardness","43","2"
"child labor","44","2"
"intelligence tests","45","4"
"Polynices","46","4"
"violin sonatas","47","4"
"Cambridge Platonists","48","2"
"hypergeometric","49","2"
"Nelson Aldrich","50","2"
"Buddhist monks","51","8"
"Tom Wingfield","52","2"
"Ivan III","53","3"
"Papageno","54","2"
"esterification","55","2"
"Kargil War","56","2"
"The White Tiger","57","4"
"dueling","58","3"
"George Balanchine","59","3"
"structural functionalism","60","2"
"Lewis","61","3"
"French Socialist Party","62","2"
"types","63","3"
"dog","64","8"
"Scythians","65","2"
"cosmic voids","66","2"
"Indonesia","67","29"
"piano trios","68","8"
"William Godwin","69","4"
"David","70","22"
"reading","71","5"
"Louhi","72","2"
"waveguides","73","2"
"Vienna Secession","74","2"
"Satires","75","2"
"pilgrimage","76","2"
"Manuel Antonio Noriega Moreno","77","3"
"Herbert George Wells","78","10"
"Paris Street","79","2"
"scientific management","80","2"
"Chimamanda Ngozi Adichie","81","3"
"Gilbert Stuart","82","3"
"Locksley Hall","83","3"
"Vicente Aleixandre","84","2"
"Mr and Mrs Andrews","85","2"
"Robert Schumann","86","43"
"trans effect","87","2"
"Nagarjuna","88","3"
"Samson and Delilah","89","3"
"Battle of Valmy","90","2"
"magnetization","91","4"
"Candida","92","2"
"The Fable of the Bees","93","2"
"Percy Wyndham Lewis","94","2"
"The Tempest","95","25"
"auctions","96","4"
"Tlon Uqbar Orbis Tertius","97","2"
"kafir","98","2"
"solvation","99","5"
"At the Moulin Rouge","100","2"
"The Man With the Blue Guitar","101","3"
"An Essay on Man","102","5"
"Peter Cooper","103","3"
"Berlin Alexanderplatz","104","3"
"Catal Huyuk","105","2"
"The Marriage of Heaven and Hell","106","2"
"ferrocene","107","3"
"Vilnius","108","2"
"Adam and Eve","109","3"
"Ada","110","4"
"completeness","111","4"
"Peasant Wedding","112","3"
"Elizabeth Bishop","113","13"
"kohen","114","2"
"David Balfour","115","2"
"Nephthys","116","4"
"Portinari Altarpiece","117","3"
"Khazars","118","4"
"spin angular momentum","119","5"
"monads","120","3"
"Marianne Moore","121","11"
